"datetime"	"wtr_0.5"	"wtr_1.0"	"wtr_1.5"	"wtr_2.0"	"wtr_2.5"	"wtr_3.0"	"wtr_3.5"	"wtr_4.0"	"wtr_5.0"
"2013-05-17 00:00:00"	15.1033333333333	12.3183333333333	8.2875	6.86833333333333	6.165	5.695	5.54	5.315	4.81583333333333
"2013-05-17 01:00:00"	14.9666666666667	12.2958333333333	8.19333333333333	6.855	6.15	5.685	5.555	5.335	4.88083333333333
"2013-05-17 02:00:00"	14.7216666666667	12.2358333333333	8.28916666666667	6.84	6.15	5.7	5.55333333333333	5.32	4.86416666666667
"2013-05-17 03:00:00"	14.5558333333333	12.1316666666667	8.355	6.975	6.205	5.695	5.48666666666667	5.29	4.795
"2013-05-17 04:00:00"	14.375	12.3	8.18916666666667	6.77666666666667	6.15	5.7	5.56	5.345	4.88083333333333
"2013-05-17 05:00:00"	14.2208333333333	12.1558333333333	8.35	6.89333333333333	6.185	5.71	5.56	5.31	4.83583333333333
"2013-05-17 06:00:00"	14.0841666666667	12.265	8.2775	6.87333333333333	6.14	5.69	5.56	5.33	4.84833333333333
"2013-05-17 07:00:00"	13.975	12.235	8.28916666666667	6.9	6.16	5.67	5.53333333333333	5.34	4.86916666666667
"2013-05-17 08:00:00"	13.94	12.1775	8.285	6.91	6.195	5.71	5.51333333333333	5.315	4.835
"2013-05-17 09:00:00"	13.975	12.2558333333333	8.4125	6.89	6.19	5.745	5.53666666666667	5.32	4.85833333333333
"2013-05-17 10:00:00"	13.95	12.5325	8.385	6.905	6.185	5.73	5.57	5.355	4.88083333333333
"2013-05-17 11:00:00"	13.9391666666667	12.1983333333333	8.38666666666667	7.00833333333333	6.22	5.72	5.56	5.335	4.84
"2013-05-17 12:00:00"	14.0425	12.3958333333333	8.5325	6.96	6.24083333333333	5.725	5.565	5.325	4.91
"2013-05-17 13:00:00"	14.2966666666667	12.5991666666667	8.56833333333333	7.01333333333333	6.275	5.75	5.565	5.31	4.81
"2013-05-17 14:00:00"	14.5191666666667	12.785	8.61916666666667	7.10416666666667	6.31	5.77583333333333	5.62	5.36	4.85166666666667
"2013-05-17 15:00:00"	14.9058333333333	12.6141666666667	8.7025	7.08583333333333	6.2925	5.77583333333333	5.61	5.355	4.86916666666667
"2013-05-17 16:00:00"	15.0266666666667	13.0016666666667	8.76166666666667	7.19083333333333	6.355	5.7875	5.615	5.39	4.88083333333333
"2013-05-17 17:00:00"	15.3583333333333	13.0666666666667	8.8125	7.085	6.25416666666667	5.74	5.54333333333333	5.295	4.8275
"2013-05-17 18:00:00"	15.5775	12.8775	8.64416666666667	7.16916666666667	6.39	5.86916666666667	5.655	5.40666666666667	4.88666666666667
"2013-05-17 19:00:00"	15.6975	12.915	8.92583333333333	7.175	6.33	5.76833333333333	5.57833333333333	5.315	4.84333333333333
"2013-05-17 20:00:00"	15.715	12.8841666666667	8.80083333333333	7.11166666666667	6.28	5.765	5.595	5.36333333333333	4.85916666666667
"2013-05-17 21:00:00"	15.68	13.0325	8.7025	7.115	6.33416666666667	5.81666666666667	5.65	5.395	4.90333333333333
"2013-05-17 22:00:00"	15.7591666666667	12.8825	8.83333333333333	7.22	6.39	5.81083333333333	5.595	5.345	4.91833333333333
"2013-05-17 23:00:00"	15.66	12.9658333333333	8.74916666666667	7.07	6.32916666666667	5.7875	5.615	5.355	4.88583333333333
"2013-05-18 00:00:00"	15.5883333333333	12.7916666666667	8.975	7.11916666666667	6.27583333333333	5.77583333333333	5.58	5.32	4.83
"2013-05-18 01:00:00"	15.4775	12.96	8.69	7.195	6.31666666666667	5.78416666666667	5.61	5.36	4.90416666666667
"2013-05-18 02:00:00"	15.3541666666667	12.9116666666667	8.72416666666667	7.15	6.365	5.8225	5.62	5.36083333333333	4.88
"2013-05-18 03:00:00"	15.19	12.835	8.87583333333333	7.12416666666667	6.28666666666667	5.78166666666667	5.6	5.34	4.86333333333333
"2013-05-18 04:00:00"	15.0158333333333	12.8883333333333	8.825	7.185	6.3225	5.745	5.565	5.31	4.86333333333333
"2013-05-18 05:00:00"	14.9158333333333	12.9383333333333	8.83	7.155	6.365	5.82833333333333	5.62	5.36	4.84
"2013-05-18 06:00:00"	15.01	12.8408333333333	8.86	7.125	6.32	5.79333333333333	5.62	5.35083333333333	4.85166666666667
"2013-05-18 07:00:00"	15.0041666666667	12.8783333333333	8.88	7.08916666666667	6.275	5.79416666666667	5.63	5.37166666666667	4.8575
"2013-05-18 08:00:00"	14.915	12.8825	8.855	7.215	6.345	5.77	5.6	5.345	4.88083333333333
"2013-05-18 09:00:00"	14.77	12.9441666666667	8.8225	7.215	6.38	5.81666666666667	5.61	5.325	4.85166666666667
"2013-05-18 10:00:00"	14.66	12.9216666666667	8.95333333333333	7.13	6.345	5.81666666666667	5.63	5.35666666666667	4.875
"2013-05-18 11:00:00"	14.5116666666667	12.965	9.12416666666667	7.28	6.37	5.79916666666667	5.62	5.35583333333333	4.8975
"2013-05-18 12:00:00"	14.435	13.0883333333333	9.085	7.21583333333333	6.35	5.79333333333333	5.625	5.35	4.8925
"2013-05-18 13:00:00"	14.43	13.3191666666667	8.9975	7.26166666666667	6.38	5.88083333333333	5.675	5.40666666666667	4.91416666666667
"2013-05-18 14:00:00"	14.475	13.39	9.245	7.35916666666667	6.415	5.805	5.625	5.36	4.8575
"2013-05-18 15:00:00"	14.5525	13.5991666666667	9.22333333333333	7.29916666666667	6.41	5.84	5.63	5.37166666666667	4.89166666666667
"2013-05-18 16:00:00"	14.66	13.5983333333333	9.25	7.2925	6.415	5.88666666666667	5.66	5.3775	4.90916666666667
"2013-05-18 17:00:00"	14.845	13.4491666666667	9.25666666666667	7.39416666666667	6.43	5.84583333333333	5.645	5.40666666666667	4.90666666666667
"2013-05-18 18:00:00"	14.9641666666667	13.5058333333333	9.1475	7.29833333333333	6.455	5.90583333333333	5.665	5.37166666666667	4.90916666666667
"2013-05-18 19:00:00"	15.0533333333333	13.5316666666667	9.41416666666667	7.30583333333333	6.4	5.81083333333333	5.62	5.36666666666667	4.8575
